currencyCode,tierMinimumUnits,retailPrice,unitPrice,armRegionName,location,effectiveStartDate,meterId,meterName,productId,skuId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type,isPrimaryMeterRegion,armSkuName,reservationTerm
USD,0.0,15.202,15.202,koreacentral,KR Central,2023-06-01T00:00:00Z,c6efb322-d78e-571b-a858-cdc8d2aa03e6,vCore,DZH318Z0B17J,DZH318Z0B17J/00BD,SQL Managed Instance Business Critical - Premium Series Compute,32 vCore,SQL Managed Instance,DZH318XWNZTN,Databases,1 Hour,Consumption,False,32 vCore,
USD,0.0,0.103,0.103,koreacentral,KR Central,2023-08-01T00:00:00Z,3ded089a-8617-560a-9d36-4efaaa6c4bdb,MVBuilder D1s vCore,DZH318Z0DX1T,DZH318Z0DX1T/00CP,Azure Cosmos DB Materialized Views,MVBuilder D1s,Azure Cosmos DB,DZH317DL9CC7,Databases,1 Hour,Consumption,True,Azure Cosmos DB Materialized Views Builder D1s,
USD,0.0,0.0,0.0,koreacentral,KR Central,2021-01-01T00:00:00Z,bb27ac2c-a1a2-5a62-856c-5ea71c7fee89,vCore,DZH318Z08L6S,DZH318Z08L6S/001B,Azure Arc enabled SQL Managed Instance Business Critical,vCore,Azure Arc Enabled Databases,DZH3156C3V0M,Databases,1 Hour,Consumption,False,,
USD,0.0,4.538,4.538,koreacentral,KR Central,2022-07-01T00:00:00Z,3ed20b67-1d6c-5473-abc2-628b6733cd77,32 vCore,DZH318Z0H9TN,DZH318Z0H9TN/00HV,Azure Database for MySQL Flexible Server Memory Optimized Edsv5 Series Compute,Standard_E32d_v5,Azure Database for MySQL,DZH317NR0P99,Databases,1 Hour,Consumption,True,AzureDB_MySQL_Flexible_Server_Memory_Optimized_Edsv5Series_Compute_32vCore,
USD,0.0,0.208,0.208,koreacentral,KR Central,2024-08-01T00:00:00Z,3edc9a5f-d0af-5614-bd66-46bfdbe56c78,B2MS,DZH318Z0DCS3,DZH318Z0DCS3/00FP,Azure Database for MySQL Flexible Server Burstable BS Series Compute,Standard_B2ms2,Azure Database for MySQL,DZH317NR0P99,Databases,1 Hour,Consumption,True,B2MS,
USD,0.0,0.3,0.3,koreacentral,KR Central,2025-07-01T00:00:00Z,4ba075df-0a05-55ca-bbaf-7820b2d54448,vCore,DZH318Z09SM1,DZH318Z09SM1/017D,Azure Database for PostgreSQL Flexible Server Memory Optimized Edsv4 Series Compute,2 vCore,Azure Database for PostgreSQL,DZH3199QPQTD,Databases,1 Hour,Consumption,False,AzureDB_PostgreSQL_Flexible_Server_Memory_Optimized_Edsv4Series_Compute,
USD,0.0,0.1208,0.1208,koreacentral,KR Central,2025-06-01T00:00:00Z,273d32c3-fc8d-4600-8fa8-08795d24f214,vCore,DZH318Z0BQJ1,DZH318Z0BQJ1/000B,Azure Database for PostgreSQL Single Server General Purpose - Compute Gen5,vCore,Azure Database for PostgreSQL,DZH3199QPQTD,Databases,1 Hour,Consumption,False,AzureDB_PostgreSQL_General_Purpose_Compute_Gen5,
USD,0.0,24.9125,24.9125,koreacentral,KR Central,2025-04-01T00:00:00Z,9c6b9508-8ddc-4402-a265-ea25f8deb4f3,eDTUs,DZH318Z0BQH7,DZH318Z0BQH7/01BQ,SQL Database Elastic Pool - Premium,125 DTU Pack,SQL Database,DZH3180HX10K,Databases,1/Day,Consumption,False,,
USD,0.0,0.1,0.1,koreacentral,KR Central,2021-06-01T00:00:00Z,3fc0f197-988f-420e-9eb1-744bf97a9e45,Cont 30D Bckp On Demand Backup,DZH318Z0BX2J,DZH318Z0BX2J/0008,Azure Cosmos DB - PITR,Backup,Azure Cosmos DB,DZH317DL9CC7,Databases,1 GB,Consumption,True,,
USD,0.0,0.162,0.162,koreacentral,KR Central,2022-10-01T00:00:00Z,3fe95649-5906-5232-b16c-a1e14b837915,Standard_D2s_v5 vCore,DZH318Z08VF5,DZH318Z08VF5/0BDK,Azure Managed Instance for Apache Cassandra - Compute,Apache_Cassandra_Standard_D2s_v5,Azure Managed Instance for Apache Cassandra,DZH317NW2D37,Databases,1 Hour,Consumption,True,Apache_Cassandra_Standard_D2s_v5,
USD,0.0,7.872,7.872,koreacentral,KR Central,2023-03-01T00:00:00Z,400a8c40-54f0-5cc5-add3-d5c9bdcc0d44,vCore,DZH318Z0KDZJ,DZH318Z0KDZJ/0057,Azure Database for PostgreSQL Flexible Server General Purpose - Ddsv5 Series Compute,64 vCore,Azure Database for PostgreSQL,DZH3199QPQTD,Databases,1 Hour,Consumption,True,Standard_D64ds_v5,
USD,0.0,8.256288,8.256288,koreacentral,KR Central,2025-07-01T00:00:00Z,0fc6c500-1e1a-4d47-9c73-ff0db2cff60e,vCore,DZH318Z0BPXH,DZH318Z0BPXH/00TV,SQL Database Single/Elastic Pool Business Critical - Compute Gen5,24 vCore,SQL Database,DZH3180HX10K,Databases,1 Hour,Consumption,False,SQLDB_BC_Compute_Gen5_24,
USD,0.0,0.288968,0.288968,koreacentral,KR Central,2025-07-01T00:00:00Z,3a826f91-b6db-5bcc-82ba-060147db3f95,vCore,DZH318Z0B0B4,DZH318Z0B0B4/014H,SQL Database Single/Elastic Pool Hyperscale - Premium Series Memory Optimized Compute,vCore,SQL Database,DZH3180HX10K,Databases,1 Hour,Consumption,False,SQLDB_HyperScale_Compute_Premium_Memory_Optimized,
USD,0.0,1645.0,1645.0,koreacentral,KR Central,2025-07-01T00:00:00Z,3a826f91-b6db-5bcc-82ba-060147db3f95,vCore,DZH318Z0B0B4,DZH318Z0B0B4/017Q,SQL Database Single/Elastic Pool Hyperscale - Premium Series Memory Optimized Compute,vCore,SQL Database,DZH3180HX10K,Databases,1 Hour,Reservation,False,SQLDB_HyperScale_Compute_Premium_Memory_Optimized,1 Year
USD,0.0,3417.0,3417.0,koreacentral,KR Central,2025-07-01T00:00:00Z,3a826f91-b6db-5bcc-82ba-060147db3f95,vCore,DZH318Z0B0B4,DZH318Z0B0B4/019L,SQL Database Single/Elastic Pool Hyperscale - Premium Series Memory Optimized Compute,vCore,SQL Database,DZH3180HX10K,Databases,1 Hour,Reservation,False,SQLDB_HyperScale_Compute_Premium_Memory_Optimized,3 Years
USD,0.0,2.4,2.4,koreacentral,KR Central,2025-07-01T00:00:00Z,4ba075df-0a05-55ca-bbaf-7820b2d54448,vCore,DZH318Z09SM1,DZH318Z09SM1/016V,Azure Database for PostgreSQL Flexible Server Memory Optimized Edsv4 Series Compute,16 vCore,Azure Database for PostgreSQL,DZH3199QPQTD,Databases,1 Hour,Consumption,False,AzureDB_PostgreSQL_Flexible_Server_Memory_Optimized_Edsv4Series_Compute,
USD,0.0,8.25624,8.25624,koreacentral,KR Central,2025-06-01T00:00:00Z,9b6025e3-1701-5f68-a8e5-5a31df1ac457,Zone Redundancy vCore,DZH318Z0BPXL,DZH318Z0BPXL/045R,SQL Database Single/Elastic Pool General Purpose - Compute Gen5,80 vCore Zone Redundancy,SQL Database,DZH3180HX10K,Databases,1 Hour,Consumption,False,SQLDB_GP_Compute_Gen5_80,
USD,0.0,1.857654,1.857654,koreacentral,KR Central,2025-06-01T00:00:00Z,9b6025e3-1701-5f68-a8e5-5a31df1ac457,Zone Redundancy vCore,DZH318Z0BPXL,DZH318Z0BPXL/036M,SQL Database Single/Elastic Pool General Purpose - Compute Gen5,18 vCore Zone Redundancy,SQL Database,DZH3180HX10K,Databases,1 Hour,Consumption,False,SQLDB_GP_Compute_Gen5_18,
USD,0.0,2.752096,2.752096,koreacentral,KR Central,2025-06-01T00:00:00Z,ed66e6a2-0ba1-44e6-a51a-77872ed7f836,vCore,DZH318Z0BQK3,DZH318Z0BQK3/004J,SQL Managed Instance Business Critical - Compute Gen5,8 vCore,SQL Managed Instance,DZH318XWNZTN,Databases,1 Hour,Consumption,False,SQLMI_BC_Compute_Gen5_8,
USD,0.0,0.172005,0.172005,koreacentral,KR Central,2018-08-01T00:00:00Z,4284129f-ee24-419a-aced-a3eb31eafc4d,vCore,DZH318Z0BPXL,DZH318Z0BPXL/00XK,SQL Database Single/Elastic Pool General Purpose - Compute Gen5,1 vCore,SQL Database,DZH3180HX10K,Databases,1 Hour,Consumption,True,SQLDB_GP_Compute_Gen5_1,
USD,0.0,0.0656,0.0656,koreacentral,KR Central,2019-02-01T00:00:00Z,42c4ae67-819a-4032-bfad-0af6733d3074,General Purpose Data Stored,DZH318Z0BXBD,DZH318Z0BXBD/000M,Azure Database for MySQL General Purpose - Large-Scale Storage,General Purpose,Azure Database for MySQL,DZH317NR0P99,Databases,1 GB/Month,Consumption,True,,
USD,0.0,0.483552,0.483552,koreacentral,KR Central,2024-05-01T00:00:00Z,8922dace-95c8-4702-a273-122320c54eaa,vCore,DZH318Z0BXXV,DZH318Z0BXXV/001Q,Azure Database for MariaDB Single Server General Purpose - Compute Gen4,4 vCore,Azure Database for MariaDB,DZH31974T4H6,Databases,1 Hour,Consumption,False,,
USD,0.0,1.3,1.3,koreacentral,KR Central,2025-07-01T00:00:00Z,42cbbd1d-4f2e-584f-8197-dba6fac89ee6,D16as_v4 vCore,DZH318Z08VF5,DZH318Z08VF5/0HCP,Azure Managed Instance for Apache Cassandra - Compute,D16as_v4,Azure Managed Instance for Apache Cassandra,DZH317NW2D37,Databases,1 Hour,Consumption,True,MI_Apache_Cassandra_D16as_v4,
USD,0.0,16.980092,16.980092,koreacentral,KR Central,2023-01-01T00:00:00Z,39d1ecd8-9d67-5fe8-a7ad-46c01175e58e,Zone Redundancy vCore,DZH318Z0C124,DZH318Z0C124/00T4,SQL Database General Purpose - Serverless - Compute Gen5,48 vCore Zone Redundancy,SQL Database,DZH3180HX10K,Databases,1 Hour,Consumption,False,,
USD,0.0,16.936,16.936,koreacentral,KR Central,2017-02-01T00:00:00Z,cefd815c-1662-4b31-9423-cf1503649807,100 DWUs,DZH318Z0BZ1C,DZH318Z0BZ1C/001Q,SQL Data Warehouse Compute Optimized Gen1,DWU1000,SQL Data Warehouse,DZH316GM4MNQ,Databases,1/Hour,Consumption,False,,
USD,0.0,3.54,3.54,koreacentral,KR Central,2025-07-01T00:00:00Z,431431b2-68e8-53c1-a5d6-cdf90c56aaf6,Standard_E32ads_v5 vCore,DZH318Z08VF5,DZH318Z08VF5/093W,Azure Managed Instance for Apache Cassandra - Compute,Apache_Cassandra_Standard_E32ads_v5,Azure Managed Instance for Apache Cassandra,DZH317NW2D37,Databases,1 Hour,Consumption,True,Apache_Cassandra_Standard_E32ads_v5,
USD,0.0,34.146406,34.146406,koreacentral,KR Central,2020-07-23T00:00:00Z,6dec411c-de74-4e8d-9f17-89ffd49b99cd,vCore,DZH318Z0CGVC,DZH318Z0CGVC/00XC,SQL Database Single/Elastic Pool Business Critical - Compute M Series,18 vCore,SQL Database,DZH3180HX10K,Databases,1 Hour,Consumption,False,18 vCore,
