currencyCode,retailPrice,location,skuName,OS,type,reservationTerm
USD,6.522,koreacentral,D64as v6,Windows,Consumption,
USD,3.578,koreacentral,D64as v6,Windows,DevTestConsumption,
USD,3.922,koreacentral,D32ds v6,Windows,Consumption,
USD,2.45,koreacentral,D32ds v6,Windows,DevTestConsumption,
USD,1.584,koreacentral,D32als v6,Linux,Consumption,
USD,8187.0,koreacentral,D32als v6,Linux,Reservation,1 Year
USD,15818.0,koreacentral,D32als v6,Linux,Reservation,3 Years
USD,10.08,koreacentral,D96a v4,Windows,Consumption,
USD,5.664,koreacentral,D96a v4,Windows,DevTestConsumption,
USD,0.88,koreacentral,D16lds v5,Linux,Consumption,
USD,4548.0,koreacentral,D16lds v5,Linux,Reservation,1 Year
USD,8326.0,koreacentral,D16lds v5,Linux,Reservation,3 Years
USD,0.44,koreacentral,D8lds v5,Linux,Consumption,
USD,2274.0,koreacentral,D8lds v5,Linux,Reservation,1 Year
USD,4163.0,koreacentral,D8lds v5,Linux,Reservation,3 Years
USD,3.44,koreacentral,D32-16s v3,Windows,Consumption,
USD,1.968,koreacentral,D32-16s v3,Windows,DevTestConsumption,
USD,0.236,koreacentral,D4a v4,Linux,Consumption,
USD,1199.0,koreacentral,D4a v4,Linux,Reservation,1 Year
USD,2332.0,koreacentral,D4a v4,Linux,Reservation,3 Years
USD,0.231,koreacentral,D2d v4,Windows,Consumption,
USD,0.139,koreacentral,D2d v4,Windows,DevTestConsumption,
USD,0.806,koreacentral,D16ls v6,Linux,Consumption,
USD,4380.0,koreacentral,D16ls v6,Linux,Reservation,1 Year
USD,8265.0,koreacentral,D16ls v6,Linux,Reservation,3 Years
USD,5.635,koreacentral,D96alds v6,Linux,Consumption,
USD,29125.0,koreacentral,D96alds v6,Linux,Reservation,1 Year
USD,56275.0,koreacentral,D96alds v6,Linux,Reservation,3 Years
USD,0.246,koreacentral,D4s v3,Linux,Consumption,
USD,1202.0,koreacentral,D4s v3,Linux,Reservation,1 Year
USD,2470.0,koreacentral,D4s v3,Linux,Reservation,3 Years
USD,0.944,koreacentral,D16s v4,Linux,Consumption,
USD,4807.0,koreacentral,D16s v4,Linux,Reservation,1 Year
USD,9328.0,koreacentral,D16s v4,Linux,Reservation,3 Years
USD,3.085,koreacentral,D32ls v6,Windows,Consumption,
USD,1.613,koreacentral,D32ls v6,Windows,DevTestConsumption,
USD,0.93,koreacentral,D8ads v6,Windows,Consumption,
USD,0.562,koreacentral,D8ads v6,Windows,DevTestConsumption,
USD,0.396,koreacentral,D8als v6,Linux,Consumption,
USD,2047.0,koreacentral,D8als v6,Linux,Reservation,1 Year
USD,3955.0,koreacentral,D8als v6,Linux,Reservation,3 Years
USD,5.664,koreacentral,D96a v4,Linux,Consumption,
USD,28778.0,koreacentral,D96a v4,Linux,Reservation,1 Year
USD,55968.0,koreacentral,D96a v4,Linux,Reservation,3 Years
USD,0.991,koreacentral,D16s v6,Linux,Consumption,
USD,5383.0,koreacentral,D16s v6,Linux,Reservation,1 Year
USD,10159.0,koreacentral,D16s v6,Linux,Reservation,3 Years
USD,3.44,koreacentral,D32 v3,Windows,Consumption,
USD,1.968,koreacentral,D32 v3,Windows,DevTestConsumption,
USD,5.026,koreacentral,D48alds v6,Windows,Consumption,
USD,2.818,koreacentral,D48alds v6,Windows,DevTestConsumption,
USD,2.64,koreacentral,D48lds v5,Linux,Consumption,
USD,13645.0,koreacentral,D48lds v5,Linux,Reservation,1 Year
USD,24977.0,koreacentral,D48lds v5,Linux,Reservation,3 Years
USD,6.88,koreacentral,D64-16s v3,Windows,Consumption,
USD,3.936,koreacentral,D64-16s v3,Windows,DevTestConsumption,
USD,0.248,koreacentral,D4s v6,Linux,Consumption,
USD,1346.0,koreacentral,D4s v6,Linux,Reservation,1 Year
USD,2540.0,koreacentral,D4s v6,Linux,Reservation,3 Years
USD,6.72,koreacentral,D64a v4,Windows,Consumption,
USD,3.776,koreacentral,D64a v4,Windows,DevTestConsumption,
USD,5.947,koreacentral,D96s v6,Linux,Consumption,
USD,32300.0,koreacentral,D96s v6,Linux,Reservation,1 Year
USD,60954.0,koreacentral,D96s v6,Linux,Reservation,3 Years
USD,3.722,koreacentral,D32ads v6,Windows,Consumption,
USD,2.25,koreacentral,D32ads v6,Windows,DevTestConsumption,
USD,0.462,koreacentral,D4d v4,Windows,Consumption,
USD,0.278,koreacentral,D4d v4,Windows,DevTestConsumption,
USD,0.236,koreacentral,D4s v4,Linux,Consumption,
USD,1202.0,koreacentral,D4s v4,Linux,Reservation,1 Year
USD,2332.0,koreacentral,D4s v4,Linux,Reservation,3 Years
USD,1.675,koreacentral,D16alds v6,Windows,Consumption,
USD,0.939,koreacentral,D16alds v6,Windows,DevTestConsumption,
USD,0.556,koreacentral,D8ds v4,Linux,Consumption,
USD,2835.0,koreacentral,D8ds v4,Linux,Reservation,1 Year
USD,5494.0,koreacentral,D8ds v4,Linux,Reservation,3 Years
USD,1.72,koreacentral,D16s v3,Windows,Consumption,
USD,0.984,koreacentral,D16s v3,Windows,DevTestConsumption,
USD,0.278,koreacentral,D4d v4,Linux,Consumption,
USD,1418.0,koreacentral,D4d v4,Linux,Reservation,1 Year
USD,2747.0,koreacentral,D4d v4,Linux,Reservation,3 Years
USD,9.254,koreacentral,D96ls v6,Windows,Consumption,
USD,4.838,koreacentral,D96ls v6,Windows,DevTestConsumption,
USD,7.351,koreacentral,D96ds v6,Linux,Consumption,
USD,39923.0,koreacentral,D96ds v6,Linux,Reservation,1 Year
USD,75339.0,koreacentral,D96ds v6,Linux,Reservation,3 Years
USD,1.63,koreacentral,D16as v6,Windows,Consumption,
USD,0.894,koreacentral,D16as v6,Windows,DevTestConsumption,
USD,1.993,koreacentral,D32lds v6,Linux,Consumption,
USD,10826.0,koreacentral,D32lds v6,Linux,Reservation,1 Year
USD,20430.0,koreacentral,D32lds v6,Linux,Reservation,3 Years
USD,1.112,koreacentral,D16d v4,Linux,Consumption,
USD,5670.0,koreacentral,D16d v4,Linux,Reservation,1 Year
USD,10988.0,koreacentral,D16d v4,Linux,Reservation,3 Years
USD,3.465,koreacentral,D32lds v6,Windows,Consumption,
USD,1.993,koreacentral,D32lds v6,Windows,DevTestConsumption,
USD,0.792,koreacentral,D16als v6,Linux,Consumption,
USD,4093.0,koreacentral,D16als v6,Linux,Reservation,1 Year
USD,7909.0,koreacentral,D16als v6,Linux,Reservation,3 Years
USD,1.68,koreacentral,D16as v4,Windows,Consumption,
