currencyCode,tierMinimumUnits,retailPrice,unitPrice,armRegionName,location,effectiveStartDate,effectiveEndDate,meterId,meterName,productId,skuId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type,isPrimaryMeterRegion,armSkuName,reservationTerm
USD,0.0,0.052,0.052,koreacentral,KR Central,2023-09-01T00:00:00Z,,087cfeda-5178-535a-acfe-d87a5dcb5f23,B2ls v2,DZH318Z0K9K9,DZH318Z0K9K9/01J5,Virtual Machines Bsv2 Series,B2ls v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_B2ls_v2,
USD,0.0,255.0,255.0,koreacentral,KR Central,2023-09-01T00:00:00Z,,087cfeda-5178-535a-acfe-d87a5dcb5f23,B2ls v2,DZH318Z0K9K9,DZH318Z0K9K9/02M7,Virtual Machines Bsv2 Series,B2ls v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,Standard_B2ls_v2,1 Year
USD,0.0,519.0,519.0,koreacentral,KR Central,2023-09-01T00:00:00Z,,087cfeda-5178-535a-acfe-d87a5dcb5f23,B2ls v2,DZH318Z0K9K9,DZH318Z0K9K9/02M9,Virtual Machines Bsv2 Series,B2ls v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,Standard_B2ls_v2,3 Years
USD,0.0,2.832,2.832,koreacentral,KR Central,2021-11-01T00:00:00Z,,08859c96-e5da-593d-8359-d358f8eff830,D48s v4,DZH318Z0CSHJ,DZH318Z0CSHJ/003P,Virtual Machines Dsv4 Series,D48s v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D48s_v4,
USD,0.0,14422.0,14422.0,koreacentral,KR Central,2021-11-01T00:00:00Z,,08859c96-e5da-593d-8359-d358f8eff830,D48s v4,DZH318Z0CSHJ,DZH318Z0CSHJ/016J,Virtual Machines Dsv4 Series,D48s v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,Standard_D48s_v4,1 Year
USD,0.0,27984.0,27984.0,koreacentral,KR Central,2021-11-01T00:00:00Z,,08859c96-e5da-593d-8359-d358f8eff830,D48s v4,DZH318Z0CSHJ,DZH318Z0CSHJ/016H,Virtual Machines Dsv4 Series,D48s v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,Standard_D48s_v4,3 Years
USD,0.0,0.316,0.316,koreacentral,KR Central,2021-11-01T00:00:00Z,,088c9b57-d2b4-5f8e-8229-f94c2c4ef2dd,E4ads v5,DZH318Z093X0,DZH318Z093X0/00Z9,Virtual Machines Eadsv5 Series,E4ads v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E4ads_v5,
USD,0.0,1633.0,1633.0,koreacentral,KR Central,2025-04-01T00:00:00Z,,088c9b57-d2b4-5f8e-8229-f94c2c4ef2dd,E4ads v5,DZH318Z093X0,DZH318Z093X0/03RH,Virtual Machines Eadsv5 Series,E4ads v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,Standard_E4ads_v5,1 Year
USD,0.0,3156.0,3156.0,koreacentral,KR Central,2021-11-01T00:00:00Z,,088c9b57-d2b4-5f8e-8229-f94c2c4ef2dd,E4ads v5,DZH318Z093X0,DZH318Z093X0/03QP,Virtual Machines Eadsv5 Series,E4ads v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,Standard_E4ads_v5,3 Years
USD,0.0,23.533,23.533,koreacentral,KR Central,2025-04-01T00:00:00Z,,08905a5c-03a2-5228-a502-459979924a66,D192ds_v6,DZH318Z0GNHZ,DZH318Z0GNHZ/02J6,Virtual Machines Ddsv6 Series Windows,D192ds_v6,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D192ds_v6,
USD,0.0,14.701,14.701,koreacentral,KR Central,2025-04-01T00:00:00Z,,08905a5c-03a2-5228-a502-459979924a66,D192ds_v6,DZH318Z0GNHZ,DZH318Z0GNHZ/02J6,Virtual Machines Ddsv6 Series Windows,D192ds_v6,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,Standard_D192ds_v6,
